id,company_name,signup_date,plan_tier,geography,industry,acquisition_channel,status,archetype
325,Web Technologies,2023-01-09,Enterprise,US,saas_tech,direct,churned,steady_grower
326,Global Studio,2023-03-04,Enterprise,EU,financial_services,organic_search,active,seasonal_business
327,Apex Services,2023-04-25,Pro,EU,ecommerce,referral,churned,seasonal_business
328,Dynamic,2023-01-01,Enterprise,US,ecommerce,referral,churned,seasonal_business
329,Smart Dynamics,2023-05-04,Enterprise,US,marketing_agency,direct,active,enterprise_pilot
330,Smart Ltd,2023-01-29,Basic,US,financial_services,direct,churned,price_sensitive
331,Ultra,2023-05-21,Enterprise,US,marketing_agency,direct,active,seasonal_business
332,Ultra,2023-01-26,Basic,EU,saas_tech,organic_search,churned,enterprise_pilot
333,Mobile Systems,2023-04-11,Enterprise,EU,manufacturing,paid_ads,active,enterprise_pilot
334,Fusion,2023-01-02,Basic,EU,financial_services,partner,active,price_sensitive
335,Alpha Associates,2023-06-21,Enterprise,US,manufacturing,paid_ads,active,seasonal_business
336,Elite Ventures,2023-02-24,Basic,EU,financial_services,referral,churned,price_sensitive
337,Apex,2023-06-23,Basic,EU,saas_tech,paid_ads,active,price_sensitive
338,Mobile Hub,2023-05-01,Pro,US,ecommerce,paid_ads,active,seasonal_business
339,Rapid Corp,2023-05-02,Enterprise,US,ecommerce,organic_search,churned,price_sensitive
340,Cyber Associates,2023-01-24,Basic,US,saas_tech,direct,churned,seasonal_business
341,Swift Innovations,2023-01-24,Enterprise,US,ecommerce,paid_ads,churned,price_sensitive
342,Prime Data,2023-05-07,Enterprise,EU,marketing_agency,paid_ads,churned,enterprise_pilot
343,Meta,2023-06-08,Enterprise,US,marketing_agency,organic_search,churned,seasonal_business
344,Rapid Group,2023-01-17,Basic,US,manufacturing,content_marketing,churned,steady_grower
345,Tech,2023-04-28,Enterprise,EU,marketing_agency,referral,active,steady_grower
346,Summit Intelligence,2023-05-11,Pro,EU,financial_services,content_marketing,active,seasonal_business
347,Meta Systems,2023-06-24,Pro,US,ecommerce,partner,churned,seasonal_business
348,Super Intelligence,2023-03-30,Enterprise,US,saas_tech,organic_search,active,steady_grower
349,Meta Intelligence,2023-02-06,Enterprise,US,saas_tech,organic_search,active,steady_grower
350,Ultra Ventures,2023-03-24,Basic,US,financial_services,organic_search,churned,failed_adoption
351,Tech Associates,2023-01-30,Enterprise,US,financial_services,organic_search,active,steady_grower
352,Summit Enterprises,2023-04-29,Enterprise,EU,financial_services,referral,active,steady_grower
353,Super,2023-05-11,Basic,EU,healthcare,paid_ads,active,price_sensitive
354,Rapid Works,2023-04-19,Basic,EU,financial_services,content_marketing,churned,steady_grower
355,Meta,2023-05-01,Enterprise,EU,manufacturing,paid_ads,active,enterprise_pilot
356,Agile Data,2023-06-18,Enterprise,US,financial_services,paid_ads,active,steady_grower
357,Quick Corp,2023-05-15,Enterprise,US,marketing_agency,content_marketing,churned,enterprise_pilot
358,Tech Works,2023-05-22,Basic,US,saas_tech,organic_search,churned,price_sensitive
359,Cyber Ventures,2023-03-10,Enterprise,EU,ecommerce,direct,churned,enterprise_pilot
360,Swift Systems,2023-02-01,Basic,US,financial_services,organic_search,active,price_sensitive
361,Ultra Corp,2023-06-27,Enterprise,US,marketing_agency,paid_ads,active,steady_grower
362,Meta,2023-06-27,Enterprise,US,manufacturing,organic_search,active,steady_grower
363,Auto Labs,2023-02-02,Enterprise,US,ecommerce,paid_ads,active,steady_grower
364,Ultra Ventures,2023-03-13,Enterprise,EU,ecommerce,direct,churned,enterprise_pilot
365,Summit Hub,2023-01-16,Pro,EU,healthcare,paid_ads,active,steady_grower
366,Mega Innovations,2023-01-29,Enterprise,US,ecommerce,paid_ads,active,enterprise_pilot
367,Pioneer,2023-05-11,Enterprise,EU,marketing_agency,referral,active,steady_grower
368,Apex,2023-01-31,Enterprise,EU,ecommerce,organic_search,active,steady_grower
369,Gamma Consulting,2023-05-27,Enterprise,US,ecommerce,referral,active,steady_grower
370,Fusion,2023-01-24,Basic,EU,ecommerce,referral,churned,seasonal_business
371,Dynamic Inc,2023-02-17,Enterprise,EU,saas_tech,referral,active,seasonal_business
372,Dynamic Hub,2023-03-09,Pro,US,saas_tech,paid_ads,churned,seasonal_business
373,Mega Dynamics,2023-06-18,Enterprise,US,ecommerce,paid_ads,active,steady_grower
374,Elite Innovations,2023-02-15,Basic,EU,saas_tech,partner,active,price_sensitive
375,Beta,2023-01-19,Basic,US,saas_tech,direct,churned,price_sensitive
376,Dynamic LLC,2023-02-28,Basic,US,marketing_agency,organic_search,churned,failed_adoption
377,Quick,2023-01-25,Basic,US,financial_services,paid_ads,active,price_sensitive
378,Swift,2023-01-12,Basic,EU,ecommerce,referral,churned,steady_grower
379,Hyper Services,2023-03-30,Enterprise,EU,ecommerce,organic_search,active,steady_grower
380,Data Ltd,2023-05-21,Basic,US,financial_services,organic_search,churned,price_sensitive
381,Mega Solutions,2023-03-27,Enterprise,US,ecommerce,organic_search,active,price_sensitive
382,Agile Systems,2023-05-19,Basic,US,healthcare,organic_search,churned,price_sensitive
383,Summit Dynamics,2023-01-29,Enterprise,EU,saas_tech,referral,active,enterprise_pilot
384,Tech Corp,2023-01-27,Basic,US,ecommerce,direct,churned,price_sensitive
385,Web Data,2023-01-06,Basic,EU,manufacturing,paid_ads,churned,failed_adoption
386,Super Intelligence,2023-05-22,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
387,Summit Systems,2023-05-31,Enterprise,US,saas_tech,referral,active,enterprise_pilot
388,Meta Enterprises,2023-02-22,Enterprise,US,financial_services,paid_ads,active,enterprise_pilot
389,Nova,2023-05-27,Basic,US,manufacturing,referral,churned,failed_adoption
390,Auto Labs,2023-06-15,Basic,US,ecommerce,direct,churned,price_sensitive
391,Ultra,2023-01-11,Basic,US,other,referral,churned,seasonal_business
392,Quick,2023-02-28,Basic,US,financial_services,direct,churned,failed_adoption
393,Zenith Hub,2023-03-12,Enterprise,US,financial_services,paid_ads,churned,steady_grower
394,Mega,2023-03-03,Basic,US,saas_tech,referral,active,price_sensitive
395,Nova,2023-06-03,Enterprise,US,marketing_agency,organic_search,active,steady_grower
396,Ultra Enterprises,2023-02-15,Enterprise,US,marketing_agency,paid_ads,churned,seasonal_business
397,Meta Data,2023-04-16,Basic,US,healthcare,referral,active,enterprise_pilot
398,Nova,2023-06-05,Basic,US,financial_services,organic_search,active,failed_adoption
399,Cloud Inc,2023-02-09,Enterprise,US,saas_tech,partner,churned,seasonal_business
400,Summit Corp,2023-06-15,Enterprise,US,ecommerce,paid_ads,active,enterprise_pilot
401,Rapid Dynamics,2023-04-16,Basic,US,manufacturing,organic_search,churned,seasonal_business
402,Nova,2023-05-16,Enterprise,US,financial_services,direct,active,seasonal_business
403,Web,2023-04-14,Basic,EU,saas_tech,direct,active,price_sensitive
404,Ultra Insights,2023-05-14,Enterprise,EU,ecommerce,content_marketing,active,enterprise_pilot
405,Beta,2023-03-14,Enterprise,US,marketing_agency,organic_search,churned,steady_grower
406,Beta Systems,2023-06-15,Enterprise,US,ecommerce,paid_ads,active,enterprise_pilot
407,Mega,2023-06-27,Enterprise,US,ecommerce,direct,churned,seasonal_business
408,Quick Insights,2023-02-01,Pro,US,ecommerce,paid_ads,churned,seasonal_business
409,Auto Inc,2023-05-19,Enterprise,EU,saas_tech,organic_search,churned,seasonal_business
410,Vertex,2023-06-03,Basic,US,financial_services,paid_ads,churned,price_sensitive
411,Cyber,2023-05-11,Enterprise,US,ecommerce,organic_search,churned,seasonal_business
412,Hyper Associates,2023-01-20,Enterprise,EU,marketing_agency,direct,active,seasonal_business
413,Apex Enterprises,2023-01-23,Enterprise,US,ecommerce,organic_search,active,seasonal_business
414,Web Intelligence,2023-04-10,Enterprise,EU,ecommerce,partner,active,price_sensitive
415,Rapid,2023-05-30,Enterprise,EU,ecommerce,organic_search,churned,steady_grower
416,Gamma,2023-05-10,Enterprise,EU,saas_tech,organic_search,active,steady_grower
417,Cyber LLC,2023-03-05,Enterprise,US,ecommerce,referral,churned,seasonal_business
418,Swift Technologies,2023-02-08,Enterprise,EU,other,referral,active,steady_grower
419,Cloud Consulting,2023-01-23,Enterprise,EU,other,direct,active,steady_grower
420,Dynamic Hub,2023-03-10,Basic,EU,other,organic_search,active,failed_adoption
421,Elite Partners,2023-06-20,Enterprise,US,ecommerce,organic_search,active,steady_grower
422,Delta Partners,2023-03-20,Basic,EU,manufacturing,partner,churned,steady_grower
423,Fusion,2023-05-03,Enterprise,US,other,partner,active,enterprise_pilot
424,Data Studio,2023-03-09,Basic,US,ecommerce,partner,churned,failed_adoption
425,Fast Innovations,2023-01-14,Enterprise,EU,marketing_agency,referral,active,steady_grower
426,Cyber Solutions,2023-05-16,Basic,EU,other,paid_ads,churned,price_sensitive
427,Swift Corp,2023-02-14,Enterprise,US,ecommerce,referral,active,enterprise_pilot
428,Web Services,2023-06-18,Enterprise,US,saas_tech,paid_ads,churned,steady_grower
429,Fast Analytics,2023-05-13,Enterprise,US,financial_services,paid_ads,active,enterprise_pilot
430,Auto Ventures,2023-05-03,Enterprise,US,marketing_agency,paid_ads,active,steady_grower
431,Beta Group,2023-05-22,Basic,US,other,paid_ads,churned,price_sensitive
432,Beta Consulting,2023-06-05,Enterprise,US,marketing_agency,organic_search,active,steady_grower
433,Vertex,2023-04-11,Enterprise,US,marketing_agency,referral,churned,seasonal_business
434,Ultra Technologies,2023-04-06,Basic,US,other,direct,churned,failed_adoption
435,Quantum,2023-01-07,Enterprise,US,financial_services,partner,active,steady_grower
436,Mobile Data,2023-04-02,Basic,US,healthcare,paid_ads,churned,failed_adoption
437,Mega,2023-05-19,Pro,EU,healthcare,organic_search,churned,seasonal_business
438,Rapid,2023-02-10,Basic,US,saas_tech,paid_ads,churned,price_sensitive
439,Mega,2023-01-28,Basic,US,healthcare,paid_ads,active,price_sensitive
440,Prime Corp,2023-06-09,Enterprise,EU,marketing_agency,referral,churned,steady_grower
441,Tech Hub,2023-06-23,Basic,EU,ecommerce,content_marketing,churned,failed_adoption
442,Agile Inc,2023-01-16,Enterprise,US,ecommerce,organic_search,active,steady_grower
443,Agile Ltd,2023-05-25,Basic,EU,manufacturing,organic_search,churned,seasonal_business
444,Mega,2023-01-21,Enterprise,EU,financial_services,direct,churned,seasonal_business
445,Ultra Associates,2023-06-03,Basic,US,saas_tech,partner,active,price_sensitive
446,Beta Insights,2023-02-26,Basic,US,financial_services,referral,churned,price_sensitive
447,Smart,2023-04-08,Basic,EU,ecommerce,referral,churned,failed_adoption
448,Mobile Intelligence,2023-01-02,Enterprise,EU,financial_services,partner,active,enterprise_pilot
449,Quick,2023-04-20,Basic,EU,saas_tech,direct,active,price_sensitive
450,Swift Intelligence,2023-02-24,Basic,EU,healthcare,paid_ads,active,price_sensitive
451,Apex Ventures,2023-01-25,Basic,US,ecommerce,direct,churned,failed_adoption
452,Quick Consulting,2023-02-09,Enterprise,EU,other,referral,active,seasonal_business
453,Rapid Partners,2023-02-25,Enterprise,EU,manufacturing,paid_ads,active,enterprise_pilot
454,Beta,2023-03-01,Basic,EU,saas_tech,direct,churned,price_sensitive
455,Alpha Associates,2023-03-22,Basic,US,ecommerce,direct,churned,seasonal_business
456,Mobile Solutions,2023-02-12,Enterprise,US,ecommerce,referral,active,steady_grower
457,Cloud,2023-01-20,Pro,US,ecommerce,organic_search,churned,seasonal_business
458,Smart,2023-02-16,Enterprise,US,saas_tech,organic_search,active,enterprise_pilot
459,Smart Partners,2023-05-18,Basic,EU,ecommerce,partner,active,seasonal_business
460,Alpha,2023-03-24,Enterprise,US,marketing_agency,paid_ads,active,enterprise_pilot
461,Delta Innovations,2023-05-18,Basic,US,saas_tech,partner,active,price_sensitive
462,Zenith Consulting,2023-01-02,Enterprise,US,marketing_agency,organic_search,active,steady_grower
463,Rapid Corp,2023-03-28,Enterprise,US,financial_services,organic_search,active,enterprise_pilot
464,Fast Inc,2023-04-20,Basic,US,saas_tech,referral,churned,price_sensitive
465,Super Hub,2023-02-12,Basic,US,financial_services,partner,churned,failed_adoption
466,Summit Intelligence,2023-04-23,Basic,EU,ecommerce,partner,churned,failed_adoption
467,Prime Insights,2023-06-13,Basic,EU,ecommerce,referral,churned,seasonal_business
468,Rapid,2023-06-01,Basic,US,ecommerce,referral,churned,failed_adoption
469,Meta,2023-06-16,Basic,US,saas_tech,direct,churned,price_sensitive
470,Agile Labs,2023-03-08,Enterprise,US,marketing_agency,paid_ads,churned,price_sensitive
471,Quantum,2023-06-15,Basic,US,ecommerce,partner,churned,steady_grower
472,Quantum,2023-04-27,Basic,US,saas_tech,partner,churned,price_sensitive
473,Ultra Ltd,2023-01-25,Enterprise,US,marketing_agency,organic_search,active,steady_grower
474,Pioneer,2023-01-08,Pro,US,saas_tech,referral,churned,seasonal_business
475,Elite Labs,2023-01-26,Pro,US,financial_services,paid_ads,churned,steady_grower
476,Global Hub,2023-02-17,Pro,EU,other,organic_search,churned,seasonal_business
477,Mega,2023-05-18,Enterprise,US,marketing_agency,organic_search,active,steady_grower
478,Auto,2023-05-16,Pro,EU,ecommerce,paid_ads,active,seasonal_business
479,Agile Innovations,2023-01-01,Basic,EU,saas_tech,direct,churned,enterprise_pilot
480,Prime,2023-04-09,Basic,US,healthcare,referral,churned,failed_adoption
481,Summit,2023-01-26,Enterprise,US,marketing_agency,paid_ads,churned,price_sensitive
482,Beta LLC,2023-04-26,Enterprise,EU,saas_tech,organic_search,active,enterprise_pilot
483,Super Systems,2023-06-10,Basic,US,healthcare,referral,churned,seasonal_business
484,Vertex,2023-03-26,Basic,US,other,partner,churned,price_sensitive
485,Summit Corp,2023-04-29,Enterprise,EU,manufacturing,partner,active,enterprise_pilot
486,Gamma,2023-06-15,Enterprise,US,marketing_agency,paid_ads,active,steady_grower
487,Vertex Enterprises,2023-03-08,Basic,EU,saas_tech,organic_search,churned,failed_adoption
488,Super Services,2023-03-12,Enterprise,EU,financial_services,content_marketing,active,seasonal_business
489,Gamma Inc,2023-01-26,Enterprise,EU,marketing_agency,organic_search,churned,seasonal_business
490,Agile,2023-01-28,Enterprise,EU,marketing_agency,paid_ads,active,steady_grower
491,Delta,2023-01-29,Enterprise,EU,saas_tech,referral,active,steady_grower
492,Rapid Corp,2023-01-02,Basic,EU,other,paid_ads,churned,price_sensitive
493,Gamma,2023-05-21,Enterprise,US,saas_tech,paid_ads,active,steady_grower
494,Smart,2023-06-09,Enterprise,US,ecommerce,paid_ads,churned,steady_grower
495,Agile,2023-02-23,Basic,EU,healthcare,content_marketing,churned,seasonal_business
496,Agile,2023-02-10,Enterprise,US,saas_tech,paid_ads,active,enterprise_pilot
497,Web Enterprises,2023-05-02,Basic,US,marketing_agency,paid_ads,churned,failed_adoption
498,Gamma Technologies,2023-04-06,Basic,US,manufacturing,organic_search,churned,price_sensitive
499,Quick Dynamics,2023-06-02,Basic,US,ecommerce,paid_ads,churned,price_sensitive
500,Super Studio,2023-05-02,Basic,US,healthcare,referral,active,enterprise_pilot
501,Rapid Partners,2023-02-03,Pro,EU,other,partner,churned,seasonal_business
502,Pioneer,2023-02-18,Basic,US,marketing_agency,organic_search,active,failed_adoption
503,Zenith Innovations,2023-04-01,Enterprise,US,ecommerce,paid_ads,active,steady_grower
504,Zenith,2023-02-23,Basic,US,healthcare,partner,churned,seasonal_business
505,Fast,2023-04-30,Enterprise,EU,ecommerce,referral,active,steady_grower
506,Quantum,2023-01-26,Basic,US,healthcare,direct,churned,seasonal_business
507,Meta Associates,2023-04-27,Basic,EU,financial_services,paid_ads,churned,failed_adoption
508,Agile Group,2023-03-22,Enterprise,EU,marketing_agency,organic_search,churned,price_sensitive
509,Super Inc,2023-06-05,Enterprise,EU,financial_services,direct,active,steady_grower
510,Agile Corp,2023-04-29,Enterprise,EU,saas_tech,organic_search,active,steady_grower
511,Digital Intelligence,2023-01-14,Enterprise,EU,ecommerce,direct,active,enterprise_pilot
512,Apex Intelligence,2023-03-20,Basic,US,healthcare,organic_search,churned,price_sensitive
513,Digital Consulting,2023-02-24,Enterprise,US,ecommerce,partner,active,seasonal_business
514,Alpha Enterprises,2023-03-19,Enterprise,EU,marketing_agency,direct,active,price_sensitive
515,Apex Systems,2023-04-14,Enterprise,US,ecommerce,direct,churned,enterprise_pilot
516,Hyper Studio,2023-06-21,Pro,EU,manufacturing,referral,active,seasonal_business
517,Apex Insights,2023-04-11,Enterprise,US,ecommerce,partner,active,price_sensitive
518,Cyber Services,2023-01-21,Basic,US,marketing_agency,organic_search,churned,failed_adoption
519,Beta Ventures,2023-06-18,Basic,US,ecommerce,organic_search,churned,steady_grower
520,Cyber,2023-05-17,Enterprise,EU,ecommerce,partner,active,enterprise_pilot
521,Quick,2023-02-04,Enterprise,US,marketing_agency,direct,churned,seasonal_business
522,Quick Data,2023-04-17,Basic,US,manufacturing,referral,active,failed_adoption
523,Data Associates,2023-04-16,Pro,EU,manufacturing,organic_search,churned,seasonal_business
524,Data Systems,2023-02-23,Enterprise,EU,manufacturing,paid_ads,churned,steady_grower
525,Nova Studio,2023-01-24,Basic,US,saas_tech,organic_search,active,price_sensitive
526,Summit Innovations,2023-02-28,Pro,US,saas_tech,direct,churned,steady_grower
527,Vertex Data,2023-06-19,Basic,EU,manufacturing,paid_ads,active,failed_adoption
528,Prime Intelligence,2023-05-06,Enterprise,US,manufacturing,organic_search,active,steady_grower
529,Nexus,2023-03-06,Enterprise,US,saas_tech,organic_search,active,steady_grower
530,Alpha Systems,2023-05-04,Enterprise,US,manufacturing,paid_ads,active,enterprise_pilot
531,Mega Dynamics,2023-04-19,Enterprise,US,saas_tech,organic_search,active,enterprise_pilot
532,Prime Studio,2023-06-02,Pro,US,healthcare,referral,active,steady_grower
533,Nova LLC,2023-06-23,Enterprise,EU,financial_services,organic_search,active,steady_grower
534,Fast,2023-01-02,Enterprise,US,ecommerce,direct,active,steady_grower
535,Gamma,2023-04-22,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
536,Gamma Works,2023-06-14,Basic,US,healthcare,content_marketing,active,enterprise_pilot
537,Global,2023-04-07,Basic,US,healthcare,paid_ads,active,failed_adoption
538,Auto Associates,2023-04-21,Basic,EU,ecommerce,organic_search,churned,price_sensitive
539,Tech,2023-06-08,Basic,EU,manufacturing,referral,churned,failed_adoption
540,Cyber Works,2023-04-25,Basic,EU,saas_tech,referral,churned,seasonal_business
541,Apex Works,2023-06-27,Enterprise,EU,ecommerce,direct,active,seasonal_business
542,Super,2023-05-12,Enterprise,US,marketing_agency,paid_ads,active,steady_grower
543,Data Enterprises,2023-01-09,Enterprise,US,ecommerce,paid_ads,churned,price_sensitive
544,Quick Hub,2023-05-25,Enterprise,EU,saas_tech,organic_search,active,steady_grower
545,Global,2023-02-19,Enterprise,EU,marketing_agency,direct,churned,price_sensitive
546,Delta,2023-05-09,Basic,EU,healthcare,referral,churned,seasonal_business
547,Auto Ventures,2023-01-09,Enterprise,US,ecommerce,partner,churned,enterprise_pilot
548,Web Group,2023-02-02,Enterprise,EU,financial_services,referral,active,enterprise_pilot
549,Dynamic,2023-04-26,Pro,EU,saas_tech,paid_ads,churned,seasonal_business
550,Cloud,2023-06-26,Pro,EU,other,organic_search,churned,seasonal_business
551,Quick,2023-01-19,Basic,US,financial_services,paid_ads,churned,failed_adoption
552,Agile,2023-04-06,Enterprise,US,ecommerce,organic_search,active,price_sensitive
553,Global Analytics,2023-03-29,Enterprise,US,saas_tech,partner,active,seasonal_business
554,Mega Group,2023-01-18,Basic,US,saas_tech,direct,churned,failed_adoption
555,Quick Hub,2023-06-10,Enterprise,EU,ecommerce,paid_ads,active,price_sensitive
556,Digital LLC,2023-03-04,Basic,EU,saas_tech,referral,active,price_sensitive
557,Agile Dynamics,2023-03-23,Enterprise,EU,healthcare,organic_search,churned,seasonal_business
558,Pioneer,2023-03-17,Enterprise,US,marketing_agency,referral,churned,enterprise_pilot
559,Meta Analytics,2023-01-26,Enterprise,EU,saas_tech,direct,churned,seasonal_business
560,Tech Hub,2023-04-01,Basic,US,healthcare,direct,churned,enterprise_pilot
561,Dynamic Solutions,2023-04-04,Enterprise,US,financial_services,partner,active,steady_grower
562,Hyper Ventures,2023-01-02,Basic,US,saas_tech,organic_search,churned,failed_adoption
563,Web Innovations,2023-01-31,Enterprise,EU,ecommerce,organic_search,active,steady_grower
564,Hyper Partners,2023-04-25,Enterprise,US,saas_tech,paid_ads,churned,seasonal_business
565,Dynamic Insights,2023-04-27,Enterprise,US,financial_services,referral,active,steady_grower
566,Mobile,2023-04-26,Enterprise,US,marketing_agency,paid_ads,churned,price_sensitive
567,Beta Hub,2023-04-15,Basic,US,saas_tech,direct,churned,failed_adoption
568,Rapid Intelligence,2023-06-28,Enterprise,EU,saas_tech,organic_search,churned,enterprise_pilot
569,Summit Solutions,2023-06-09,Basic,US,healthcare,paid_ads,churned,enterprise_pilot
570,Prime Ventures,2023-02-08,Enterprise,US,ecommerce,organic_search,active,steady_grower
571,Rapid Partners,2023-01-29,Basic,US,saas_tech,paid_ads,churned,failed_adoption
572,Elite Technologies,2023-04-12,Basic,EU,healthcare,partner,active,seasonal_business
573,Quick Ltd,2023-06-28,Enterprise,US,ecommerce,organic_search,active,steady_grower
574,Auto LLC,2023-01-10,Enterprise,EU,marketing_agency,paid_ads,active,enterprise_pilot
575,Fast Dynamics,2023-04-13,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
576,Delta,2023-02-03,Enterprise,EU,ecommerce,organic_search,active,seasonal_business
577,Global Inc,2023-06-01,Enterprise,US,ecommerce,organic_search,active,seasonal_business
578,Prime Ventures,2023-01-01,Enterprise,EU,other,organic_search,active,steady_grower
579,Ultra Studio,2023-04-17,Pro,EU,marketing_agency,referral,churned,seasonal_business
580,Agile Consulting,2023-06-14,Enterprise,US,ecommerce,organic_search,active,seasonal_business
581,Fast Analytics,2023-04-22,Basic,EU,financial_services,partner,churned,price_sensitive
582,Vertex Partners,2023-03-06,Enterprise,EU,saas_tech,organic_search,churned,seasonal_business
583,Zenith Labs,2023-05-05,Enterprise,US,marketing_agency,paid_ads,active,steady_grower
584,Agile Studio,2023-01-30,Basic,EU,financial_services,paid_ads,active,price_sensitive
585,Alpha Systems,2023-01-02,Basic,EU,saas_tech,direct,churned,failed_adoption
586,Smart,2023-01-20,Basic,US,ecommerce,paid_ads,churned,failed_adoption
587,Alpha,2023-01-20,Enterprise,EU,ecommerce,partner,active,steady_grower
588,Elite,2023-05-25,Pro,US,healthcare,paid_ads,active,steady_grower
589,Data Works,2023-04-02,Basic,US,other,organic_search,churned,price_sensitive
590,Smart Data,2023-01-23,Enterprise,EU,marketing_agency,paid_ads,churned,seasonal_business
591,Vertex Group,2023-04-27,Basic,US,healthcare,paid_ads,churned,seasonal_business
592,Hyper Inc,2023-02-25,Enterprise,US,marketing_agency,direct,churned,price_sensitive
593,Mega Group,2023-03-12,Basic,US,healthcare,organic_search,churned,enterprise_pilot
594,Digital Hub,2023-06-25,Basic,US,financial_services,content_marketing,churned,failed_adoption
595,Web,2023-04-14,Basic,EU,manufacturing,organic_search,churned,seasonal_business
596,Dynamic,2023-03-19,Basic,US,ecommerce,partner,churned,failed_adoption
597,Fast,2023-01-25,Basic,US,financial_services,organic_search,active,price_sensitive
598,Digital Associates,2023-06-05,Basic,EU,financial_services,paid_ads,churned,enterprise_pilot
599,Gamma Intelligence,2023-06-10,Enterprise,US,financial_services,organic_search,active,steady_grower
600,Smart,2023-02-17,Basic,US,ecommerce,organic_search,churned,seasonal_business
601,Elite Dynamics,2023-01-10,Pro,US,financial_services,organic_search,churned,seasonal_business
602,Agile Partners,2023-01-30,Pro,US,ecommerce,organic_search,churned,seasonal_business
603,Elite,2023-05-22,Enterprise,US,marketing_agency,referral,churned,seasonal_business
604,Dynamic Works,2023-01-22,Enterprise,EU,marketing_agency,referral,active,steady_grower
605,Hyper Consulting,2023-01-16,Enterprise,EU,healthcare,partner,active,seasonal_business
606,Dynamic LLC,2023-04-19,Basic,US,manufacturing,referral,active,price_sensitive
607,Beta Labs,2023-04-08,Basic,US,saas_tech,organic_search,churned,failed_adoption
608,Web Dynamics,2023-02-02,Enterprise,US,financial_services,direct,churned,seasonal_business
609,Global Systems,2023-05-29,Enterprise,US,ecommerce,direct,churned,seasonal_business
610,Global,2023-03-27,Enterprise,US,ecommerce,paid_ads,churned,seasonal_business
611,Cyber LLC,2023-05-05,Basic,EU,healthcare,organic_search,active,enterprise_pilot
612,Global Partners,2023-06-05,Enterprise,US,saas_tech,partner,active,steady_grower
613,Auto,2023-01-09,Basic,US,ecommerce,direct,churned,price_sensitive
614,Rapid Associates,2023-02-11,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
615,Fast,2023-04-04,Basic,EU,healthcare,referral,churned,failed_adoption
616,Mobile Consulting,2023-06-28,Pro,US,healthcare,paid_ads,active,steady_grower
617,Nova Labs,2023-06-11,Enterprise,US,ecommerce,paid_ads,churned,steady_grower
618,Auto Insights,2023-05-10,Enterprise,US,marketing_agency,organic_search,active,price_sensitive
619,Zenith,2023-03-22,Enterprise,US,ecommerce,referral,active,enterprise_pilot
620,Agile Works,2023-01-10,Enterprise,EU,manufacturing,referral,active,seasonal_business
621,Data Solutions,2023-05-11,Pro,US,healthcare,paid_ads,churned,steady_grower
622,Data LLC,2023-04-28,Pro,EU,financial_services,partner,active,seasonal_business
623,Apex Associates,2023-03-23,Enterprise,US,marketing_agency,organic_search,active,steady_grower
624,Prime Analytics,2023-03-16,Enterprise,US,ecommerce,referral,active,seasonal_business
625,Cyber,2023-01-05,Basic,EU,manufacturing,partner,churned,steady_grower
626,Super Dynamics,2023-01-26,Basic,US,financial_services,direct,churned,failed_adoption
627,Alpha,2023-04-13,Enterprise,EU,manufacturing,organic_search,active,steady_grower
628,Quick Technologies,2023-02-07,Basic,US,saas_tech,content_marketing,churned,price_sensitive
629,Alpha Analytics,2023-01-15,Enterprise,EU,ecommerce,partner,active,enterprise_pilot
630,Dynamic Hub,2023-05-27,Basic,EU,other,organic_search,churned,failed_adoption
631,Prime Corp,2023-04-06,Enterprise,US,saas_tech,organic_search,active,steady_grower
632,Cloud Intelligence,2023-01-29,Basic,EU,financial_services,paid_ads,churned,failed_adoption
633,Summit Works,2023-02-05,Basic,US,manufacturing,referral,active,enterprise_pilot
634,Global Analytics,2023-02-22,Enterprise,US,ecommerce,direct,active,seasonal_business
635,Prime,2023-05-30,Enterprise,EU,saas_tech,referral,active,steady_grower
636,Mobile Hub,2023-03-21,Enterprise,US,saas_tech,partner,active,steady_grower
637,Auto Group,2023-05-05,Enterprise,US,ecommerce,organic_search,active,price_sensitive
638,Meta,2023-01-30,Enterprise,EU,marketing_agency,organic_search,active,seasonal_business
639,Quick,2023-03-04,Basic,US,other,paid_ads,churned,seasonal_business
640,Beta LLC,2023-01-02,Basic,EU,healthcare,organic_search,active,enterprise_pilot
641,Dynamic,2023-03-03,Enterprise,US,ecommerce,direct,active,steady_grower
642,Pioneer,2023-03-07,Enterprise,US,ecommerce,direct,active,enterprise_pilot
643,Quick Studio,2023-06-10,Basic,US,ecommerce,direct,churned,price_sensitive
644,Nova Labs,2023-01-20,Enterprise,EU,saas_tech,paid_ads,active,steady_grower
645,Quick Associates,2023-03-09,Pro,US,healthcare,partner,active,steady_grower
646,Mobile Works,2023-02-21,Basic,EU,marketing_agency,partner,churned,failed_adoption
647,Quick,2023-05-07,Enterprise,US,marketing_agency,direct,churned,seasonal_business
648,Smart Insights,2023-01-14,Enterprise,US,ecommerce,paid_ads,active,steady_grower
649,Mobile,2023-03-18,Enterprise,US,manufacturing,referral,active,steady_grower
650,Hyper Dynamics,2023-02-04,Basic,US,marketing_agency,organic_search,churned,failed_adoption
